ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3906295486,"ООО ""ИННОБАЛТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОБАЛТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ИННОБАЛТ""",,24662000,1218402,10,Да,
3906121546,"ООО ""МАПИЛАБ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАПИЛАБ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""МАПИЛАБ""",,19292000,1150499,32,Да,
3906248831,"ООО ""КИИТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСАЛТ ИНФО. ИНТЕРНЕТ ТЕХНОЛОГИИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КИИТ""",,23319000,1126853,19,Да,
3913500464,"ООО ""ЭЛФОСТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛФОСТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ЭЛФОСТ""",,34331000,1031737,13,Нет,
3906284357,"ООО ""ДЕМЕТРА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕМЕТРА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДЕМЕТРА""",,18575000,1025037,9,Да,
3904606464,"ООО ""ИНСТА МЕДИА СЕРВИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТА МЕДИА СЕРВИС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ИНСТА МЕДИА СЕРВИС""",,67503000,964593,6,Да,
3906992198,"ООО ""ДЖЕТМИКС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖЕТМИКС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДЖЕТМИКС""",,2559000,949048,6,Нет,
3917055493,"ООО ""КОРЕКС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРЕКС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КОРЕКС""",,16758000,936971,9,Да,
3908032891,"ООО ""А-СИСТЕМ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""А-СИСТЕМ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""А-СИСТЕМ""",,22989000,823476,13,Да,
7736124495,"ООО ""АЙТИНЕРИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИНЕРИС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АЙТИНЕРИС""",,52429000,782412,6,Да,
