Название,ИНН,ОГРН,КПП,Адрес,Статус,В реестре,Дата регистрации,Уставной капитал,Основной вид деятельности,Налоги,Источник
"ООО ""КОНСАЛТ ИНФО""",3906141969,1053903167757,390614196,"236006,Калининградская область,г Калининград,Театральная ул, д. 35, помещ. XXXIII этаж 6 офис 607,608,610",Действующая,Да,,12 000 руб,,1 млн руб.,rusprofile
"ООО ""ВЕСТ ИНТЕЛЛЕДЖЕНС""",3906284170,1123926078650,390628417,"236004,Калининградская область,г Калининград,Парковый пер, д. 3, кв. 35",Действующая,Да,,"10 752,69 руб",,1 млн руб.,rusprofile
"ООО ""БИЗНЕС ПРОДВИЖЕНИЕ""",3906401247,1213900004537,390640124,"236022,Калининградская область,г Калининград,Гвардейский пр-кт, д. 15, литер а каб. 308",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КАЙДЗЕН-СОФТ""",3906375861,1183926043950,390637586,"236013,Калининградская область,город Калининград,Алданская ул., д. 30, кв. 78",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""СЛИТ""",3906390130,1203900003933,390639013,"236022,Калининградская область,г Калининград,Уральская ул, д. 18, помещ. 420 помещ.4",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КИЦ ТЦ""",3906203414,1083925039582,390620341,"236029,Калининградская область,город Калининград,Земельная ул., д.8,6",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""НТД СОФТ""",3906374480,1183926036348,390637448,"236041,Калининградская область,г Калининград,Майский пер, д. 3, помещ. VII",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АРТМИКС РАЗРАБОТКА""",3906379930,1193926006152,390637993,"236021,Калининградская область,г Калининград,ул Полковника Ефремова, д. 12, кв. 160",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"АО ""АЙДЕСК""",3906399492,1213900002029,390639949,"236010,Калининградская область,г Калининград,Красносельская ул, д. 82 к. 1, кв. 71",Действующая,Да,,1 000 000 руб,,1 млн руб.,rusprofile
"ООО ""МЕРКУРИЙ""",3906376199,1193926000454,390637619,"236040,Калининградская область,г Калининград,Северный пер, д. 5, кв. 12",Действующая,Да,,12 000 руб,,1 млн руб.,rusprofile
